day,time,key,value
24,"02	",EL,0.33
24,"03	",EL,0.09
24,"04	",EL,0.14
24,"05	",EL,0.1
24,"06	",EL,0.09
24,"07	",EL,0.12
24,"08	",EL,0.12
24,"09	",EL,0.31
24,"10	",EL,0.6
24,"11	",EL,0.35
24,"12	",EL,0.45
24,"13	",EL,0.45
24,"14	",EL,0.48
24,"15	",EL,0.51
24,"16	",EL,0.85
24,"17	",EL,0.65
24,"18	",EL,0.73
24,"19	",EL,0.51
24,"20	",EL,0.56
24,"21	",EL,0.43
24,"22	",EL,0.32
24,"23	",EL,0.22
25,"00	",EL,0.12
25,"01	",EL,0.09
25,"02	",EL,0.37
25,"03	",EL,0.27
25,"04	",EL,0.21
25,"05	",EL,0.11
25,"06	",EL,0.09
25,"07	",EL,0.08
25,"08	",EL,0.1
25,"09	",EL,0.15
25,"10	",EL,0.34
25,"11	",EL,0.4
25,"12	",EL,0.15
25,"13	",EL,0.17
25,"14	",EL,0.18
25,"15	",EL,0.48
25,"16	",EL,0.35
25,"17	",EL,0.4
25,"18	",EL,0.71
25,"19	",EL,0.71
25,"20	",EL,0.43
25,"21	",EL,0.38
25,"22	",EL,0.49
25,"23	",EL,0.31
26,"00	",EL,0.11
26,"01	",EL,0.14
26,"02	",EL,0.26
26,"03	",EL,0.38
26,"04	",EL,0.15
26,"05	",EL,0.1
26,"06	",EL,0.09
26,"07	",EL,0.08
26,"08	",EL,0.1
26,"09	",EL,0.08
26,"10	",EL,0.29
26,"11	",EL,0.63
26,"12	",EL,0.23
26,"13	",EL,0.19
26,"14	",EL,0.46
26,"15	",EL,1.05
26,"16	",EL,0.8
26,"17	",EL,0.48
26,"18	",EL,0.67
26,"19	",EL,0.78
26,"20	",EL,0.47
26,"21	",EL,0.4
26,"22	",EL,0.43
26,"23	",EL,0.18
27,"00	",EL,0.1
27,"01	",EL,0.1
27,"02	",EL,0.15
27,"03	",EL,0.39
27,"04	",EL,0.2
27,"05	",EL,0.09
27,"06	",EL,0.09
27,"07	",EL,0.09
27,"08	",EL,0.09
27,"09	",EL,0.08
27,"10	",EL,0.21
27,"11	",EL,0.88
27,"12	",EL,0.43
27,"13	",EL,0.43
27,"14	",EL,1.1
27,"15	",EL,2.52
27,"16	",EL,1.87
27,"17	",EL,2.97
27,"18	",EL,2.09
27,"19	",EL,2.16
27,"20	",EL,0.54
27,"21	",EL,0.4
27,"22	",EL,0.43
27,"23	",EL,0.26
28,"00	",EL,0.08
28,"01	",EL,0.2
28,"02	",EL,0.4
28,"03	",EL,0.11
28,"04	",EL,0.09
28,"05	",EL,0.09
28,"06	",EL,0.08
28,"07	",EL,0.1
28,"08	",EL,0.08
28,"09	",EL,0.84
28,"10	",EL,0.43
28,"11	",EL,0.72
28,"12	",EL,0.67
28,"13	",EL,0.08
28,"14	",EL,0.1
28,"15	",EL,0.13
28,"16	",EL,0.1
28,"17	",EL,0.08
28,"18	",EL,0.14
28,"19	",EL,0.37
28,"20	",EL,0.36
28,"21	",EL,0.65
28,"22	",EL,0.39
28,"23	",EL,0.24
29,"00	",EL,0.12
29,"01	",EL,0.09
29,"02	",EL,0.08
29,"03	",EL,0.11
29,"04	",EL,0.08
29,"05	",EL,0.31
29,"06	",EL,0.32
29,"07	",EL,0.13
29,"08	",EL,0.72
29,"09	",EL,0.4
29,"10	",EL,0.46
29,"11	",EL,0.39
29,"12	",EL,0.89
29,"13	",EL,0.45
29,"14	",EL,0.71
29,"15	",EL,1.42
29,"16	",EL,1.9
29,"17	",EL,1.08
29,"18	",EL,0.5
29,"19	",EL,0.44
29,"20	",EL,0.37
29,"21	",EL,0.32
29,"22	",EL,0.47
29,"23	",EL,0.52
30,"00	",KV,"	0.00300000000000011"
30,"01	",KV,"	0"
30,"02	",KV,"	0"
30,"03	",KV,"	0"
30,"04	",KV,"	0"
30,"05	",KV,"	0"
30,"06	",KV,"	0"
30,"07	",KV,"	0.00500000000000966"
30,"08	",KV,"	0.000999999999990564"
30,"09	",KV,"	0.0580000000000069"
30,"10	",KV,"	0.00499999999999545"
30,"11	",KV,"	0.00300000000000011"
30,"12	",KV,"	0.0889999999999986"
30,"13	",KV,"	0.0150000000000006"
30,"14	",KV,"	0.0310000000000059"
30,"15	",KV,"	0.0819999999999936"
30,"16	",KV,"	0.0320000000000107"
30,"17	",KV,"	0.00999999999999091"
30,"18	",KV,"	0.0160000000000053"
30,"19	",KV,"	0.0109999999999957"
30,"20	",KV,"	0.00600000000000023"
30,"21	",KV,"	0.034000000000006"
